"model"|"product"|"m"|"features"|"dependencies"|"variables"|"relations"|"start"|"end"|"result"|"time"|"resultSize"|"min"|"minSize"|"union"|"accuracy"|"minimality"
"tiny.xml"|"50-3"|2|4|2|4|4|1501527173602|1501527173704|"U_C, U_B"|102|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-3"|6|4|2|4|4|1501527173768|1501527173876|"U_C, U_B"|108|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-3"|10|4|2|4|4|1501527173903|1501527173988|"U_C, U_B"|85|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-4"|1|4|2|4|4|1501527174035|1501527174116|"U_B"|81|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-4"|2|4|2|4|4|1501527174045|1501527174144|"U_C, U_B"|99|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-4"|4|4|2|4|4|1501527174286|1501527174395|"U_C, U_B"|109|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-4"|6|4|2|4|4|1501527174408|1501527174498|"U_C, U_B"|90|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-5"|1|4|2|4|4|1501527174488|1501527174620|"U_B"|132|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-4"|10|4|2|4|4|1501527174505|1501527174612|"U_C, U_B"|107|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-5"|2|4|2|4|4|1501527174791|1501527174920|"U_C, U_B"|129|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-5"|4|4|2|4|4|1501527174853|1501527174967|"U_C, U_B"|114|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-5"|10|4|2|4|4|1501527174976|1501527175057|"U_C, U_B"|81|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-5"|6|4|2|4|4|1501527174967|1501527175082|"U_C, U_B"|115|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-6"|1|4|2|4|4|1501527175265|1501527175385|"U_B"|120|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-6"|2|4|2|4|4|1501527175339|1501527175455|"U_C, U_B"|116|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-6"|4|4|2|4|4|1501527175415|1501527175519|"U_C, U_B"|104|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-6"|6|4|2|4|4|1501527175474|1501527175565|"U_C, U_B"|91|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-6"|10|4|2|4|4|1501527175709|1501527175847|"U_C, U_B"|138|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-7"|1|4|2|4|4|1501527175856|1501527175969|"U_B"|113|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-7"|2|4|2|4|4|1501527175932|1501527176046|"U_C, U_B"|114|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-7"|4|4|2|4|4|1501527175976|1501527176074|"U_C, U_B"|98|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-7"|6|4|2|4|4|1501527176233|1501527176353|"U_C, U_B"|120|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-8"|1|4|2|4|4|1501527176404|1501527176488|"U_B"|84|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-7"|10|4|2|4|4|1501527176505|1501527176596|"U_C, U_B"|91|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-8"|2|4|2|4|4|1501527176526|1501527176617|"U_C, U_B"|91|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-8"|4|4|2|4|4|1501527176788|1501527176895|"U_C, U_B"|107|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-8"|6|4|2|4|4|1501527176852|1501527176949|"U_C, U_B"|97|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-8"|10|4|2|4|4|1501527176972|1501527177087|"U_C, U_B"|115|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-9"|1|4|2|4|4|1501527177008|1501527177112|"U_B"|104|1|"U_B"|1|"U_B"|1|1
"tiny.xml"|"50-9"|2|4|2|4|4|1501527177277|1501527177404|"U_C, U_B"|127|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-9"|4|4|2|4|4|1501527177321|1501527177437|"U_C, U_B"|116|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-9"|6|4|2|4|4|1501527177435|1501527177555|"U_C, U_B"|120|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"50-9"|10|4|2|4|4|1501527177493|1501527177605|"U_C, U_B"|112|2|"U_B"|1|"U_B"|1|0.5
"tiny.xml"|"100-0"|2|4|2|4|4|1501527177764|1501527177865|"U_C, U_B"|101|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-0"|1|4|2|4|4|1501527177764|1501527177890|"U_C"|126|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-0"|4|4|2|4|4|1501527177981|1501527178095|"U_root, U_A, U_C, U_B"|114|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-0"|6|4|2|4|4|1501527177996|1501527178113|"U_root, U_A, U_C, U_B"|117|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-1"|1|4|2|4|4|1501527178246|1501527178372|"U_C"|126|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-0"|10|4|2|4|4|1501527178260|1501527178378|"U_root, U_A, U_C, U_B"|118|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-1"|4|4|2|4|4|1501527178452|1501527178550|"U_root, U_A, U_C, U_B"|98|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-1"|2|4|2|4|4|1501527178458|1501527178583|"U_C, U_B"|125|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-1"|10|4|2|4|4|1501527178721|1501527178843|"U_root, U_A, U_C, U_B"|122|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-1"|6|4|2|4|4|1501527178751|1501527178862|"U_root, U_A, U_C, U_B"|111|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-2"|2|4|2|4|4|1501527178926|1501527179023|"U_C, U_B"|97|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-2"|1|4|2|4|4|1501527178915|1501527179034|"U_C"|119|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-2"|4|4|2|4|4|1501527179218|1501527179322|"U_root, U_A, U_C, U_B"|104|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-2"|6|4|2|4|4|1501527179298|1501527179414|"U_root, U_A, U_C, U_B"|116|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-2"|10|4|2|4|4|1501527179399|1501527179507|"U_root, U_A, U_C, U_B"|108|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-3"|1|4|2|4|4|1501527179434|1501527179550|"U_C"|116|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-3"|2|4|2|4|4|1501527179676|1501527179788|"U_C, U_B"|112|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-3"|4|4|2|4|4|1501527179800|1501527179892|"U_root, U_A, U_C, U_B"|92|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-3"|6|4|2|4|4|1501527179861|1501527179951|"U_root, U_A, U_C, U_B"|90|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-3"|10|4|2|4|4|1501527179951|1501527180065|"U_root, U_A, U_C, U_B"|114|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-4"|1|4|2|4|4|1501527180162|1501527180279|"U_C"|117|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-4"|2|4|2|4|4|1501527180246|1501527180339|"U_C, U_B"|93|2|"U_C"|1|"U_C"|1|0.5
"tiny.xml"|"100-4"|4|4|2|4|4|1501527180334|1501527180417|"U_root, U_A, U_C, U_B"|83|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-4"|6|4|2|4|4|1501527180491|1501527180591|"U_root, U_A, U_C, U_B"|100|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-4"|10|4|2|4|4|1501527180688|1501527180809|"U_root, U_A, U_C, U_B"|121|4|"U_C"|1|"U_C"|1|0.25
"tiny.xml"|"100-5"|1|4|2|4|4|1501527180701|1501527180799|"U_C"|98|1|"U_C"|1|"U_C"|1|1
"tiny.xml"|"100-5"|2|4|2|4|4|1501527180805|1501527180908|"U_C, U_B"|103|2|"U_C"|1|"U_C"|1|0.5
