"model","variables","dependencies","m","time.mean","minimality.mean","accuracy.mean"
"model_20100927_1382418986.xml",10,2,2,134.2,0.666666666666667,1
"model_20100927_1382418986.xml",10,2,4,135.233333333333,0.555555555555556,1
"model_20100927_1382418986.xml",10,2,6,123.4,0.511111111111111,1
"model_20100927_1382418986.xml",10,2,10,127.366666666667,0.511111111111111,1
"model_20101020_1809093990.xml",20,0,1,123.566666666667,1,1
"model_20101020_1809093990.xml",20,0,2,124.133333333333,0.5,1
"model_20101020_1809093990.xml",20,0,4,118.1,0.388888888888889,1
"model_20101020_1809093990.xml",20,0,6,114.033333333333,0.288888888888889,1
"model_20101020_1809093990.xml",20,0,10,109.433333333333,0.255555555555556,1
"model_20101024_1938793748.xml",29,3,1,154,1,1
"model_20101024_1938793748.xml",29,3,2,148.5,0.5,1
"model_20101024_1938793748.xml",29,3,4,139.266666666667,0.333333333333333,1
"model_20101024_1938793748.xml",29,3,6,136.833333333333,0.333333333333333,1
"model_20101024_1938793748.xml",29,3,10,131.533333333333,0.255952380952381,1
"model_20101104_260803083.xml",11,0,1,132.9,1,1
"model_20101104_260803083.xml",11,0,2,130.633333333333,0.666666666666667,1
"model_20101104_260803083.xml",11,0,4,123.166666666667,0.555555555555556,1
"model_20101104_260803083.xml",11,0,6,121.466666666667,0.511111111111111,1
"model_20101104_260803083.xml",11,0,10,118.9,0.511111111111111,1
"model_20101109_1698100628.xml",15,0,1,133.066666666667,1,1
"model_20101109_1698100628.xml",15,0,2,132.733333333333,0.666666666666667,1
"model_20101109_1698100628.xml",15,0,4,124.233333333333,0.5,1
"model_20101109_1698100628.xml",15,0,6,127.1,0.5,1
"model_20101109_1698100628.xml",15,0,10,123,0.464285714285714,1
"model_20101110_1749898936.xml",19,4,1,165.033333333333,1,1
"model_20101110_1749898936.xml",19,4,2,159.8,0.74,1
"model_20101110_1749898936.xml",19,4,4,147.1,0.565079365079365,1
"model_20101110_1749898936.xml",19,4,6,131.833333333333,0.511111111111111,1
"model_20101110_1749898936.xml",19,4,10,131.5,0.511111111111111,1
"model_20101111_156018899.xml",12,0,1,139.9,1,1
"model_20101111_156018899.xml",12,0,2,126.4,0.666666666666667,1
"model_20101111_156018899.xml",12,0,4,131.866666666667,0.555555555555556,1
"model_20101111_156018899.xml",12,0,6,124.433333333333,0.5,1
"model_20101111_156018899.xml",12,0,10,120.666666666667,0.5,1
"model_20101111_1790887308.xml",10,2,1,119.566666666667,1,1
"model_20101111_1790887308.xml",10,2,2,118.133333333333,0.666666666666667,1
"model_20101111_1790887308.xml",10,2,4,113.666666666667,0.555555555555556,1
"model_20101111_1790887308.xml",10,2,6,107.666666666667,0.511111111111111,1
"model_20101111_1790887308.xml",10,2,10,110.933333333333,0.511111111111111,1
"model_20101112_864228137.xml",137,1,1,210.366666666667,1,1
"model_20101112_864228137.xml",137,1,2,198.1,0.5,1
"model_20101112_864228137.xml",137,1,4,189.3,0.305555555555556,1
"model_20101112_864228137.xml",137,1,6,180.466666666667,0.205555555555556,1
"model_20101112_864228137.xml",137,1,10,170.4,0.14021164021164,1
"model_20101115_2000504462.xml",72,0,1,207.8,1,1
"model_20101115_2000504462.xml",72,0,2,203.266666666667,0.5,1
"model_20101115_2000504462.xml",72,0,4,183.233333333333,0.327777777777778,1
"model_20101115_2000504462.xml",72,0,6,174.3,0.216666666666667,1
"model_20101115_2000504462.xml",72,0,10,159.066666666667,0.151322751322751,1
"model_20101116_1022976130.xml",34,0,1,179.433333333333,1,1
"model_20101116_1022976130.xml",34,0,2,165.433333333333,0.5,1
"model_20101116_1022976130.xml",34,0,4,156.233333333333,0.333333333333333,1
"model_20101116_1022976130.xml",34,0,6,148.133333333333,0.244444444444444,1
"model_20101116_1022976130.xml",34,0,10,139.8,0.181481481481481,1
"model_20101117_1571856147.xml",10,0,1,129.566666666667,1,1
"model_20101117_1571856147.xml",10,0,2,124.166666666667,0.666666666666667,1
"model_20101117_1571856147.xml",10,0,4,119.033333333333,0.555555555555556,1
"model_20101117_1571856147.xml",10,0,6,121.833333333333,0.511111111111111,1
"model_20101117_1571856147.xml",10,0,10,117.366666666667,0.511111111111111,1
"model_20101117_2128796258.xml",72,21,1,446.766666666667,1,1
"model_20101117_2128796258.xml",72,21,2,372.833333333333,0.652941176470588,0.851515151515152
"model_20101117_2128796258.xml",72,21,4,308.633333333333,0.447260869565217,0.815151515151515
"model_20101117_2128796258.xml",72,21,6,265.466666666667,0.354552469135802,0.875757575757576
"model_20101117_2128796258.xml",72,21,10,203.566666666667,0.25489417989418,0.948484848484848
"model_20101119_1472596180.xml",25,2,1,151.633333333333,1,1
"model_20101119_1472596180.xml",25,2,2,142.933333333333,0.5,1
"model_20101119_1472596180.xml",25,2,4,138.133333333333,0.361111111111111,1
"model_20101119_1472596180.xml",25,2,6,134.7,0.305555555555556,1
"model_20101119_1472596180.xml",25,2,10,125.4,0.26984126984127,1
"model_20101120_2091447559.xml",20,0,1,136.933333333333,1,1
"model_20101120_2091447559.xml",20,0,2,133.7,0.5,1
"model_20101120_2091447559.xml",20,0,4,123.966666666667,0.388888888888889,1
"model_20101120_2091447559.xml",20,0,6,122.6,0.288888888888889,1
"model_20101120_2091447559.xml",20,0,10,118,0.255555555555556,1
"model_20101123_920943759.xml",15,0,1,130,1,1
"model_20101123_920943759.xml",15,0,2,129.5,0.666666666666667,1
"model_20101123_920943759.xml",15,0,4,124.233333333333,0.5,1
"model_20101123_920943759.xml",15,0,6,127,0.5,1
"model_20101123_920943759.xml",15,0,10,119.6,0.464285714285714,1
"model_20101124_661702924.xml",15,3,1,146.733333333333,1,1
"model_20101124_661702924.xml",15,3,2,136.133333333333,0.666666666666667,1
"model_20101124_661702924.xml",15,3,4,124.366666666667,0.5,1
"model_20101124_661702924.xml",15,3,6,127.933333333333,0.5,1
"model_20101124_661702924.xml",15,3,10,123.233333333333,0.464285714285714,1
"model_20101208_1056693380.xml",25,0,1,126.233333333333,1,1
"model_20101208_1056693380.xml",25,0,2,119.866666666667,0.5,1
"model_20101208_1056693380.xml",25,0,4,114.166666666667,0.361111111111111,1
"model_20101208_1056693380.xml",25,0,6,113.633333333333,0.305555555555556,1
"model_20101208_1056693380.xml",25,0,10,115.666666666667,0.26984126984127,1
"model_20110116_381192414.xml",60,2,1,196.933333333333,1,1
"model_20110116_381192414.xml",60,2,2,182.466666666667,0.5,1
"model_20110116_381192414.xml",60,2,4,170.566666666667,0.305555555555556,1
"model_20110116_381192414.xml",60,2,6,160.8,0.205555555555556,1
"model_20110116_381192414.xml",60,2,10,146.5,0.134259259259259,1
"model_20110124_2116036381.xml",18,1,1,144.033333333333,1,1
"model_20110124_2116036381.xml",18,1,2,137.666666666667,0.833333333333333,1
"model_20110124_2116036381.xml",18,1,4,135.166666666667,0.555555555555556,1
"model_20110124_2116036381.xml",18,1,6,130.3,0.466666666666667,1
"model_20110124_2116036381.xml",18,1,10,127.5,0.437037037037037,1
"model_20110127_1318390760.xml",13,0,1,132.866666666667,1,1
"model_20110127_1318390760.xml",13,0,2,133.166666666667,0.666666666666667,1
"model_20110127_1318390760.xml",13,0,4,125.2,0.555555555555556,1
"model_20110127_1318390760.xml",13,0,6,125.533333333333,0.5,1
"model_20110127_1318390760.xml",13,0,10,124.266666666667,0.5,1
"model_20110130_639381749.xml",12,0,1,110.166666666667,1,1
"model_20110130_639381749.xml",12,0,2,110.9,0.666666666666667,1
"model_20110130_639381749.xml",12,0,4,107.433333333333,0.555555555555556,1
"model_20110130_639381749.xml",12,0,6,104.266666666667,0.5,1
"model_20110130_639381749.xml",12,0,10,99.7333333333333,0.5,1
"model_20110203_1382675896.xml",14,0,1,115.733333333333,1,1
"model_20110203_1382675896.xml",14,0,2,109.166666666667,0.666666666666667,1
"model_20110203_1382675896.xml",14,0,4,111.433333333333,0.5,1
"model_20110203_1382675896.xml",14,0,6,106.966666666667,0.5,1
